supplier,no_ordered,weapon_designation,weapon_descr,years_of_ordered,year_delivered,no_delivered,comments
United States,(650),AGM-84H SLAM-ER,ASM,(2018),2021-2022,(135),$2 b deal; for F-15SA combat aircraft; delivery probably planned 2021-2028
United States,(20),MIM-104 PAC-3,ABM missile,2018,,,Delivery planned by 2024
United States,(130),MIM-104 PAC-3,ABM missile,2018,2022,(100),$279 m deal; PAC-3 CRI version; delivery planned by 2023
United States,7,THAAD,ABM system,2018,,,Delivery planned 2023-2027
United States,360,THAAD missile,ABM missile,2018,,,
United States,(20000),Paveway,guided bomb,2019,2019-2020,(20000),Incl Enhanced Paveway version
United States,(500),Paveway,guided bomb,2019,2020,(500),Paveway-4 version
United States,(26),TPQ-53,arty locating radar,(2021),,,
United States,(280),AIM-120D AMRAAM,BVRAAM,(2022),,,
unknown supplier(s),(25),MIM-104 PAC-2,SAM,2021,2022,(25),Second-hand; supplier is Kuwait; Qatar or UAE
unknown supplier(s),(25),MIM-104 PAC-2,SAM,2021,2022,(25),Second-hand; supplier is Kuwait; Qatar or UAE
